FECHA_OP,CONCEPTO,F_ VALOR,IMPORTE,SALDO
10/07/2015,R/ TELEFONICA DE ESPANA S.A.,10/07/2015,"-51,04","42761,75"
10/07/2015,CUOTA PRESTAMO,10/07/2015,"-437,45","42324,3"
24/07/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,24/07/2015,"1114,97","43439,27"
03/08/2015,TRASPASO,03/08/2015,-400,"43039,27"
07/08/2015,R/ Gas Natural Servicios S.A,07/08/2015,"-65,83","42973,44"
10/08/2015,R/ TELEFONICA DE ESPANA S.A.,10/08/2015,"-51,54","42921,9"
10/08/2015,CUOTA PRESTAMO,10/08/2015,"-437,45","42484,45"
25/08/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/08/2015,"1121,65","43606,1"
27/08/2015,ABONO TRANSFERENCIA OMT,27/08/2015,329,"43935,1"
31/08/2015,R/ AIGUES DE BARCELONA EMGCIA,31/08/2015,"-52,61","43882,49"
01/09/2015,R/ RESIDENCIAS DE ESTUDIANTES,01/09/2015,"-17,21","43865,28"
02/09/2015,TRASPASO,02/09/2015,-400,"43465,28"
03/09/2015,R/ AJUNTAMENT DE BARCELONA,03/09/2015,"-71,99","43393,29"
08/09/2015,R/ RESIDENCIAS DE ESTUDIANTES,08/09/2015,"-29,65","43363,64"
10/09/2015,R/ TELEFONICA DE ESPANA S.A.,10/09/2015,"-51,04","43312,6"
10/09/2015,CUOTA PRESTAMO,10/09/2015,"-437,45","42875,15"
22/09/2015,R/ Gas Natural Servicios S.A,22/09/2015,"-48,81","42826,34"
25/09/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/09/2015,"1121,65","43947,99"
28/09/2015,R/ RESIDENCIAS DE ESTUDIANTES,28/09/2015,"-29,63","43918,36"
02/10/2015,TRASPASO,02/10/2015,-400,"43518,36"
06/10/2015,TRANSF CTA DE:ANA MARIA DIAS FA,06/10/2015,415,"43933,36"
08/10/2015,R/ RESIDENCIAS DE ESTUDIANTES,08/10/2015,"-88,94","43844,42"
13/10/2015,R/ TELEFONICA DE ESPANA S.A.,13/10/2015,"-51,04","43793,38"
13/10/2015,CUOTA PRESTAMO,10/10/2015,"-437,45","43355,93"
14/10/2015,TRASPASO A CTA DE: JOSE MARIA ROMERO CUE,14/10/2015,415,"43770,93"
23/10/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,23/10/2015,"1121,65","44892,58"
02/11/2015,TRASPASO,02/11/2015,-400,"44492,58"
02/11/2015,R/ AIGUES DE BARCELONA EMGCIA,02/11/2015,"-81,38","44411,2"
02/11/2015,TRASPASO A CTA DE: JOSE MARIA ROMERO CUE,02/11/2015,415,"44826,2"
03/11/2015,TRANSF CTA DE:ANA MARIA DIAS FA,03/11/2015,415,"45241,2"
05/11/2015,TRANSF CTA DE:MONTSERRAT SAMARR,05/11/2015,"1863,4","47104,6"
05/11/2015,TRASPASO,05/11/2015,"-1863,4","45241,2"
09/11/2015,TRANSFERENCIA A: JOSE MARIA ROMERO,10/11/2015,-2000,"43241,2"
10/11/2015,R/ TELEFONICA DE ESPANA S.A.,10/11/2015,"-51,04","43190,16"
10/11/2015,CUOTA PRESTAMO,10/11/2015,"-437,45","42752,71"
11/11/2015,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",11/11/2015,"-88,94","42663,77"
23/11/2015,TRANSFERENCIA A: ANA MARIA DIAS FAMILIAR,23/11/2015,-350,"42313,77"
24/11/2015,R/ Gas Natural Servicios S.A,24/11/2015,"-80,99","42232,78"
25/11/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/11/2015,"1121,65","43354,43"
25/11/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/11/2015,"1121,65","44476,08"
02/12/2015,TRASPASO A CTA DE: JOSE MARIA ROMERO CUE,02/12/2015,305,"44781,08"
02/12/2015,TRASPASO,02/12/2015,-400,"44381,08"
03/12/2015,R/ AJUNTAMENT DE BARCELONA,03/12/2015,"-71,95","44309,13"
09/12/2015,R/ CAJA INGENIEROS BANCASEGUROS,09/12/2015,"-184,82","44124,31"
10/12/2015,R/ TELEFONICA DE ESPANA S.A.,10/12/2015,"-51,04","44073,27"
10/12/2015,CUOTA PRESTAMO,10/12/2015,"-437,45","43635,82"
11/12/2015,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",11/12/2015,"-50,69","43585,13"
24/12/2015,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,24/12/2015,"1121,65","44706,78"
31/12/2015,TRANSFERENCIA A: JOSE MARIA ROMERO,04/01/2016,-6000,"38706,78"
