FECHA_OP,CONCEPTO,F_ VALOR,IMPORTE,SALDO
10/02/2016,R/ TELEFONICA DE ESPANA S.A.,10/02/2016,"-53,46","21440,42"
10/02/2016,CUOTA PRESTAMO,10/02/2016,"-426,46","21013,96"
23/02/2016,R/ 1y1 Internet Espana S.L.U,23/02/2016,"-30,24","20983,72"
23/02/2016,TRANSF CTA DE:FILIPPO CALDERONI,23/02/2016,350,"21333,72"
24/02/2016,R/ Som Energia SCCL,24/02/2016,"-64,67","21269,05"
25/02/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/02/2016,"1123,08","22392,13"
01/03/2016,R/ AIGUES DE BARCELONA EMGCIA,01/03/2016,"-68,86","22323,27"
01/03/2016,LIQUIDACION TARJETA VISA *9020 02/16,01/03/2016,"-41,2","22282,07"
03/03/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",03/03/2016,-50,"22232,07"
03/03/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",03/03/2016,"-59,29","22172,78"
03/03/2016,TRASPASO,03/03/2016,-400,"21772,78"
10/03/2016,R/ TELEFONICA DE ESPANA S.A.,10/03/2016,"-54,04","21718,74"
10/03/2016,TRANSF CTA DE:ELOY ROMAN LOPEZ,10/03/2016,415,"22133,74"
10/03/2016,CUOTA PRESTAMO,10/03/2016,"-426,46","21707,28"
23/03/2016,R/ 1y1 Internet Espana S.L.U,23/03/2016,"-30,24","21677,04"
24/03/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,24/03/2016,"1123,08","22800,12"
24/03/2016,R/ Som Energia SCCL,24/03/2016,"-67,01","22733,11"
30/03/2016,R/ Gas Natural Servicios S.A,30/03/2016,"-186,77","22546,34"
30/03/2016,TRANSF CTA DE:FILIPPO CALDERONI,30/03/2016,"428,39","22974,73"
01/04/2016,LIQUIDACION TARJETA VISA *9020 03/16,01/04/2016,"-67,84","22906,89"
04/04/2016,TRASPASO,04/04/2016,-400,"22506,89"
04/04/2016,"R/ FINQUES UNA (UNIO CATALANA D. ADM., S",04/04/2016,-50,"22456,89"
04/04/2016,TRANSF CTA DE:ELOY ROMAN LOPEZ,04/04/2016,415,"22871,89"
06/04/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",06/04/2016,"-88,94","22782,95"
11/04/2016,R/ TELEFONICA DE ESPANA S.A.,11/04/2016,"-54,04","22728,91"
11/04/2016,CUOTA PRESTAMO,10/04/2016,"-426,46","22302,45"
21/04/2016,R/ 1y1 Internet Espana S.L.U,21/04/2016,"-30,24","22272,21"
22/04/2016,R/ Som Energia SCCL,22/04/2016,"-78,14","22194,07"
25/04/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/04/2016,"1123,08","23317,15"
02/05/2016,TRASPASO,02/05/2016,-400,"22917,15"
02/05/2016,R/ AIGUES DE BARCELONA EMGCIA,02/05/2016,"-98,92","22818,23"
03/05/2016,R/ AJUNTAMENT DE BARCELONA,03/05/2016,"-71,99","22746,24"
03/05/2016,TRANSF CTA DE:ELOY ROMAN LOPEZ,03/05/2016,415,"23161,24"
03/05/2016,TRANSF CTA DE:FILIPPO CALDERONI,03/05/2016,"428,84","23590,08"
04/05/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",04/05/2016,-50,"23540,08"
09/05/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",09/05/2016,"-88,94","23451,14"
10/05/2016,R/ TELEFONICA DE ESPANA S.A.,10/05/2016,"-54,04","23397,1"
10/05/2016,CUOTA PRESTAMO,10/05/2016,"-426,46","22970,64"
11/05/2016,R/ 1y1 Internet Espana S.L.U,11/05/2016,"-12,09","22958,55"
23/05/2016,R/ 1y1 Internet Espana S.L.U,23/05/2016,"-30,24","22928,31"
24/05/2016,ABONO TRANSFERENCIA OMT,24/05/2016,350,"23278,31"
25/05/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/05/2016,"1123,08","24401,39"
25/05/2016,ABONO TRANSFERENCIA OMT,25/05/2016,"640,5","25041,89"
27/05/2016,R/ Som Energia SCCL,27/05/2016,"-82,57","24959,32"
30/05/2016,R/ Gas Natural Servicios S.A,30/05/2016,"-134,69","24824,63"
01/06/2016,TRANSFERENCIA A: FILIPO CALDERONI,02/06/2016,-350,"24474,63"
01/06/2016,LIQUIDACION TARJETA VISA *9020 05/16,01/06/2016,"-87,82","24386,81"
02/06/2016,TRASPASO,02/06/2016,-400,"23986,81"
03/06/2016,TRASPASO,03/06/2016,-1000,"22986,81"
06/06/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",06/06/2016,-50,"22936,81"
06/06/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",06/06/2016,"-49,4","22887,41"
08/06/2016,TRANSF CTA DE:ELOY ROMAN LOPEZ,08/06/2016,415,"23302,41"
10/06/2016,R/ TELEFONICA DE ESPANA S.A.,10/06/2016,"-54,04","23248,37"
10/06/2016,CUOTA PRESTAMO,10/06/2016,"-426,46","22821,91"
22/06/2016,R/ 1y1 Internet Espana S.L.U,22/06/2016,"-30,24","22791,67"
22/06/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",22/06/2016,"-20,75","22770,92"
23/06/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,23/06/2016,"1123,08",23894
23/06/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,23/06/2016,"1123,08","25017,08"
23/06/2016,R/ Som Energia SCCL,23/06/2016,"-64,7","24952,38"
01/07/2016,LIQUIDACION TARJETA VISA *9020 06/16,01/07/2016,"-38,05","24914,33"
04/07/2016,"R/ FINQUES UNA (UNIO CATALANA D. ADM., S",04/07/2016,-50,"24864,33"
04/07/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",04/07/2016,"-2207,5","22656,83"
04/07/2016,R/ AIGUES DE BARCELONA EMGCIA,04/07/2016,"-113,14","22543,69"
04/07/2016,TRASPASO,04/07/2016,-400,"22143,69"
05/07/2016,TRANSF CTA DE:ROMAN LOPEZ ELOY,05/07/2016,415,"22558,69"
06/07/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",06/07/2016,"-71,72","22486,97"
06/07/2016,ABONO TRANSFERENCIA OMT,06/07/2016,415,"22901,97"
11/07/2016,R/ TELEFONICA DE ESPANA S.A.,11/07/2016,"-54,04","22847,93"
11/07/2016,CUOTA PRESTAMO,10/07/2016,"-426,46","22421,47"
21/07/2016,R/ 1y1 Internet Espana S.L.U,21/07/2016,"-30,24","22391,23"
22/07/2016,TRANSF CTA DE:FILIPPO CALDERONI,22/07/2016,300,"22691,23"
25/07/2016,TRANSFERENCIA A: ENRIC CAMPILLO ROBLES,25/07/2016,-3000,"19691,23"
25/07/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/07/2016,"1123,08","20814,31"
26/07/2016,"R/ AQUALOGY SOLUTIONS, S.A. (MUSA)",26/07/2016,"-17,8","20796,51"
28/07/2016,R/ Som Energia SCCL,28/07/2016,"-55,54","20740,97"
01/08/2016,TRANSFERENCIA A: ELOY ROMAN LOPEZ,01/08/2016,-700,"20040,97"
01/08/2016,LIQUIDACION TARJETA VISA *9020 07/16,01/08/2016,"-344,1","19696,87"
01/08/2016,R/ Gas Natural Servicios S.A,01/08/2016,"-75,25","19621,62"
03/08/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",03/08/2016,-50,"19571,62"
03/08/2016,TRASPASO,03/08/2016,-400,"19171,62"
10/08/2016,R/ TELEFONICA DE ESPANA S.A.,10/08/2016,"-54,04","19117,58"
10/08/2016,ABONO TRANSFERENCIA OMT,10/08/2016,415,"19532,58"
11/08/2016,CUOTA PRESTAMO,10/08/2016,"-426,46","19106,12"
12/08/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",12/08/2016,"-29,65","19076,47"
16/08/2016,ABONO TRANSFERENCIA OMT,16/08/2016,325,"19401,47"
17/08/2016,TRANSF CTA DE: NICOLE M BERGSTROM,17/08/2016,344,"19745,47"
17/08/2016,TRANSF CTA DE:Dr Bruno Streitma,17/08/2016,375,"20120,47"
23/08/2016,R/ 1y1 Internet Espana S.L.U,23/08/2016,"-30,24","20090,23"
25/08/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/08/2016,"1123,08","21213,31"
26/08/2016,R/ Som Energia SCCL,26/08/2016,"-49,25","21164,06"
01/09/2016,LIQUIDACION TARJETA VISA *9020 08/16,01/09/2016,"-188,7","20975,36"
01/09/2016,R/ AIGUES DE BARCELONA EMGCIA,01/09/2016,"-91,8","20883,56"
05/09/2016,R/ AJUNTAMENT DE BARCELONA,05/09/2016,"-71,99","20811,57"
05/09/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",05/09/2016,-50,"20761,57"
05/09/2016,TRANSF CTA DE:FILIPPO CALDERONI,05/09/2016,500,"21261,57"
05/09/2016,TRANSF CTA DE:Dr Bruno Streitma,05/09/2016,815,"22076,57"
07/09/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",07/09/2016,"-35,72","22040,85"
12/09/2016,TRASPASO,12/09/2016,-400,"21640,85"
12/09/2016,R/ TELEFONICA DE ESPANA S.A.,12/09/2016,"-54,04","21586,81"
12/09/2016,CUOTA PRESTAMO,10/09/2016,"-426,46","21160,35"
16/09/2016,TRANSFERENCIA A: David Santiago,16/09/2016,-122,"21038,35"
20/09/2016,TRANSFERENCIA A: Universidad de Extremad,20/09/2016,-60,"20978,35"
21/09/2016,R/ 1y1 Internet Espana S.L.U,21/09/2016,"-30,24","20948,11"
22/09/2016,R/ Som Energia SCCL,22/09/2016,"-49,71","20898,4"
23/09/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,23/09/2016,"1123,08","22021,48"
28/09/2016,CARGO TRANSFERENCIA SWIFT EUR,29/09/2016,-661,"21360,48"
28/09/2016,TRANSF CTA DE:Dr Bruno Streitma,28/09/2016,440,"21800,48"
29/09/2016,TARJETA *8016 SERVICIO ESTACION,02/10/2016,"-54,65","21745,83"
30/09/2016,INGR.EFECTIVO HAMISH EAGLESHAM,30/09/2016,390,"22135,83"
03/10/2016,TRASPASO,03/10/2016,-400,"21735,83"
03/10/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",03/10/2016,"-29,5","21706,33"
03/10/2016,"R/ FINQUES UNA (UNIO CATALANA D. ADM., S",03/10/2016,-50,"21656,33"
03/10/2016,LIQUIDACION TARJETA VISA *9020 09/16,01/10/2016,"-30,79","21625,54"
03/10/2016,R/ Gas Natural Servicios S.A,03/10/2016,"-41,3","21584,24"
04/10/2016,TRANSF CTA DE: NICOLE M BERGSTROM,04/10/2016,350,"21934,24"
10/10/2016,R/ TELEFONICA DE ESPANA S.A.,10/10/2016,"-54,04","21880,2"
10/10/2016,CUOTA PRESTAMO,10/10/2016,"-426,46","21453,74"
11/10/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",11/10/2016,"-88,94","21364,8"
11/10/2016,TRANSF CTA DE:FILIPPO CALDERONI,11/10/2016,500,"21864,8"
13/10/2016,R/ 1y1 Internet Espana S.L.U,13/10/2016,"-12,09","21852,71"
18/10/2016,TRANSF CTA DE:Associació Barcelona en Co,18/10/2016,1000,"22852,71"
21/10/2016,R/ 1y1 Internet Espana S.L.U,21/10/2016,"-30,24","22822,47"
25/10/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/10/2016,"1123,08","23945,55"
25/10/2016,TRANSF CTA DE:Dr Bruno Streitma,25/10/2016,440,"24385,55"
27/10/2016,R/ Som Energia SCCL,27/10/2016,-61,"24324,55"
28/10/2016,TRANSF CTA DE: NICOLE M BERGSTROM,28/10/2016,480,"24804,55"
02/11/2016,TRASPASO,02/11/2016,-400,"24404,55"
02/11/2016,LIQUIDACION TARJETA VISA *9020 10/16,01/11/2016,"-7,8","24396,75"
02/11/2016,INGR.EFECTIVO HAMISH EAGLESHAM,02/11/2016,390,"24786,75"
03/11/2016,R/ AIGUES DE BARCELONA EMGCIA,03/11/2016,"-296,71","24490,04"
04/11/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",04/11/2016,-50,"24440,04"
07/11/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",07/11/2016,"-88,94","24351,1"
10/11/2016,R/ 1y1 Internet Espana S.L.U,10/11/2016,"-12,09","24339,01"
10/11/2016,R/ TELEFONICA DE ESPANA S.A.,10/11/2016,"-42,2","24296,81"
10/11/2016,CUOTA PRESTAMO,10/11/2016,"-426,46","23870,35"
22/11/2016,R/ 1y1 Internet Espana S.L.U,22/11/2016,"-30,24","23840,11"
25/11/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/11/2016,"1123,08","24963,19"
25/11/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,25/11/2016,"1123,08","26086,27"
25/11/2016,R/ Som Energia SCCL,25/11/2016,"-58,72","26027,55"
25/11/2016,TRANSF CTA DE:Dr Bruno Streitma,25/11/2016,440,"26467,55"
01/12/2016,TRANSF CTA DE: NICOLE M BERGSTROM,01/12/2016,249,"26716,55"
01/12/2016,R/ Gas Natural Servicios S.A,01/12/2016,"-66,88","26649,67"
01/12/2016,INGR.EFECTIVO HAMISH EAGLESHAM,01/12/2016,390,"27039,67"
01/12/2016,LIQUIDACION TARJETA VISA *9020 11/16,01/12/2016,"-219,44","26820,23"
01/12/2016,TRASPASO,01/12/2016,-400,"26420,23"
02/12/2016,"R/ UNIO CATALANA D. ADM., S.LFINQUES UNA",02/12/2016,-50,"26370,23"
05/12/2016,R/ AJUNTAMENT DE BARCELONA,05/12/2016,"-71,95","26298,28"
05/12/2016,R/ CAJA INGENIEROS BANCASEGUROS,05/12/2016,"-187,87","26110,41"
07/12/2016,"R/ RESIDENCIAS DE ESTUDIANTES, S.A.",07/12/2016,"-76,5","26033,91"
12/12/2016,R/ TELEFONICA DE ESPANA S.A.,12/12/2016,"-54,04","25979,87"
12/12/2016,CUOTA PRESTAMO,10/12/2016,"-426,46","25553,41"
20/12/2016,R/ 1y1 Internet Espana S.L.U,20/12/2016,"-30,24","25523,17"
22/12/2016,R/ Som Energia SCCL,22/12/2016,"-54,94","25468,23"
22/12/2016,TRANSF CTA DE:Dr Bruno Streitma,22/12/2016,440,"25908,23"
23/12/2016,PENS. CTA DE:TESORERIA GRAL DE LA SEGURI,23/12/2016,"1123,08","27031,31"
23/12/2016,CARGO TRANSFERENCIA SWIFT EUR,28/12/2016,-716,"26315,31"
